,sim_number,price_vnd
0,776260543,1000000
1,822977488,3000000
2,707963979,10000000
3,344134986,450000
4,795718118,1000000
5,974828772,450000
6,818999191,12000000
7,329730568,450000
8,585444777,10000000
9,904179189,3000000
10,343759368,450000
11,342855345,450000
12,763644188,1000000
13,943784318,1000000
14,335342968,450000
15,588086886,500000
16,858130713,500000
17,375808339,450000
18,367527866,450000
19,764011368,1000000
20,378569788,10000000
21,931209686,3000000
22,386495666,10000000
23,776266263,1000000
24,327007239,450000
25,947428605,1000000
26,944036827,1000000
27,901889987,10000000
28,967267781,500000
29,327010400,450000
30,911047555,12000000
31,943669689,10000000
32,375935639,450000
33,943533543,1000000
34,865161510,450000
35,769739123,1000000
36,326160839,450000
37,865660789,10000000
38,814398899,10000000
39,983279854,450000
40,352089198,450000
41,886696996,10000000
42,942536206,1000000
43,362153153,450000
44,904950956,500000
45,912441993,3000000
46,852218557,3000000
47,773357857,1000000
48,971451456,450000
49,828593838,3000000
50,888886216,10300000
51,941193095,1000000
52,964758789,10000000
53,925659669,12000000
54,931395779,10000000
55,823459393,3000000
56,901255661,3000000
57,767186868,3000000
58,762551966,1000000
59,708076336,1000000
60,384050888,10000000
61,976670701,500000
62,368804994,450000
63,932342542,1000000
64,328178586,450000
65,879301068,500000
66,784123789,10000000
67,797669666,12000000
68,825563678,11325000
69,919026866,3000000
70,879591269,500000
71,853957957,3000000
72,338111186,12000000
73,708066061,1000000
74,702758123,1000000
75,934109125,1000000
76,326588813,450000
77,775928888,65000000
78,763766123,1000000
79,941744298,1000000
80,762615611,1000000
81,933002268,3000000
82,329333046,450000
83,888985859,12000000
84,345657888,10000000
85,909138507,1000000
86,978626369,500000
87,979999307,3000000
88,898582989,10000000
89,566103779,500000
90,936180407,500000
91,931847086,3000000
92,362259468,450000
93,879197985,500000
94,981579269,3000000
95,846634234,500000
96,339952555,10000000
97,827131616,3000000
98,973232724,500000
99,828430567,3000000
100,377737373,450000
101,986152024,3000000
102,365262777,10000000
103,343870388,450000
104,344283889,450000
105,779802666,12000000
106,866275552,450000
107,898822121,1000000
108,983248444,10000000
109,763590592,1000000
110,966993107,500000
111,343274286,450000
112,795690697,1000000
113,908179900,1000000
114,336232039,450000
115,866998923,450000
116,343788939,450000
117,948874921,1000000
118,867023502,450000
119,907667893,10000000
120,942517151,1000000
121,939267979,10000000
122,326849066,450000
123,902571757,3000000
124,763749745,1000000
125,799098432,1000000
126,932320279,1000000
127,947645566,10000000
128,775666866,12000000
129,343745288,450000
130,358190886,450000
131,342717008,450000
132,984934446,10000000
133,799163543,1000000
134,702644722,1000000
135,343992888,10000000
136,971201184,3000000
137,812002888,12000000
138,357770239,450000
139,796010110,1000000
140,879484131,500000
141,342141996,450000
142,866985676,450000
143,981037997,3000000
144,945441689,1000000
145,795626262,1000000
146,974861231,450000
147,932305439,1000000
148,373433577,450000
149,762626621,1000000
150,819008833,10000000
151,862266168,500000
152,974430243,450000
153,343698439,450000
154,865187892,450000
155,865196496,450000
156,922781379,3000000
157,769888846,10000000
158,962111661,500000
159,335704939,450000
160,343586366,450000
161,364134766,450000
162,383296886,450000
163,325671319,450000
164,707999779,14000000
165,334361388,450000
166,799171764,1000000
167,938583969,3000000
168,889626656,1000000
169,945990718,1000000
170,787283555,5000000
171,965262087,500000
172,799184584,1000000
173,334271204,450000
174,385681586,450000
175,762771961,1000000
176,812011983,15000000
177,983642348,450000
178,856167979,10000000
179,767131345,1000000
180,929115579,3000000
181,567379779,10000000
182,356125139,450000
183,792423222,3000000
184,333241788,450000
185,899936386,3000000
186,707365563,1000000
187,522011998,12000000
188,909265095,1000000
189,818040868,10000000
190,888546454,1000000
191,903301913,1000000
192,938292595,500000
193,866247778,10000000
194,384754779,450000
195,911117717,3000000
196,865406939,450000
197,329572399,450000
198,706027979,10000000
199,976111032,3000000
200,943823307,1000000
201,862984079,450000
202,708086084,1000000
203,942166622,3000000
204,335260001,450000
205,568103168,500000
206,343294234,450000
207,773362676,1000000
208,813861315,500000
209,365444443,10000000
210,358525525,450000
211,788888335,10000000
212,961580359,500000
213,888866991,10000000
214,343310591,450000
215,763538338,1000000
216,865918568,450000
217,523991981,500000
218,905123254,500000
219,854100300,3000000
220,862943499,450000
221,367879677,10000000
222,329082839,450000
223,865686780,450000
224,326854399,450000
225,702131982,10000000
226,889797356,1000000
227,879160884,500000
228,398137788,12000000
229,763746646,1000000
230,908697333,500000
231,762621961,1000000
232,933838386,3000000
